14,Algeria
119,Cameroon
123,Egypt
193,Ghana
15,Mali
114,Mauritius
15,Morocco
112,Nigeria
10177,South Africa
190,Tunisia
999,Sudan
999,Sierra Leone
991,Zambia
994,Zimbabwe
102,Afghanistan
999,Bahrain
117,Cambodia
112,East Timor
120,China
191,Myanmar
999,Hong Kong
102,India
118,Indonesia
115,Iran
101,Israel
119,Japan
911,Jordan
103,Kazakhstan
819,North Korea
119,South Korea
112,Kuwait
140,Lebanon
999,Macau
102,Maldives
999,Malaysia
103,Mongolia
102,Nepal
999,Oman
115,Pakistan
117,Philippines
999,Qatar
997,Saudi Arabia
995,Singapore
110,Sri Lanka
110,Syria
119,Taiwan
103,Tajikistan
1669,Thailand
998,United Arab Emirates
115,Vietnam
127,Albania
911,Armenia
112,Austria
103,Azerbaijan
103,Belarus
112,Belgium
124,Bosnia and Herzegovina
112,Bulgaria
112,Croatia
112,Cyprus
112,Czech Republic
112,Denmark
112,Estonia
112,Faroe Islands
112,Finland
112,France
112,Georgia
112,Germany
112,Gibraltar
112,Greece
112,Greenland
112,Hungary
112,Iceland
999,Ireland
112,Italy
112,Latvia
112,Lithuania
112,Luxembourg
112,Republic of Macedonia
112,Malta
903,Moldova
112,Monaco
112,Montenegro
112,Netherlands
113,Norway
112,Poland
112,Portugal
112,Romania
112,Russia
118,San Marino
112,Serbia
112,Slovakia
112,Slovenia
112,Spain
112,Sweden
112,Switzerland
112,Turkey
112,Ukraine
999,United Kingdom
118,Vatican City
0,Australia
9170,Fiji
111,New Zealand
999,Solomon Islands
112,Vanuatu
911,Canada
65,Mexico
15,Saint Pierre and Miquelon
911,United States of America
122,Guatemala
911,El Salvador
911,Costa Rica
911,Panama
511,Barbados
911,Cayman Islands
911,Dominican Republic
110,Jamaica
990,Trinidad and Tobago
118,Nicaragua
911,Honduras
118,Haiti
107,Argentina
118,Bolivia
192,Brazil
131,Chile
112,Colombia
911,Ecuador
15,French Guiana
913,Guyana
911,Paraguay
106,Peru
115,Suriname
911,Uruguay
171,Venezuela
